"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.550005000E-1,-1.125659180E0,3.218756561E0,9.172475739E0,9.785796522E0
7.649805000E-1,-1.133442993E0,3.240461426E0,9.162147217E0,9.784182382E0
7.749615000E-1,-1.140777740E0,3.212619324E0,9.185648346E0,9.797878970E0
7.849425000E-1,-1.112636261E0,3.172802124E0,9.164542236E0,9.761837284E0
7.949235000E-1,-1.117875366E0,3.187172241E0,9.157207489E0,9.760233667E0
8.049045000E-1,-1.119971008E0,3.209326172E0,9.161099396E0,9.771379211E0
8.148845000E-1,-1.129850464E0,3.193159790E0,9.175918579E0,9.781120247E0
8.248655000E-1,-1.123713226E0,3.186573486E0,9.182055817E0,9.784024275E0
8.348465000E-1,-1.125359802E0,3.208727417E0,9.170679474E0,9.780783626E0
8.448275000E-1,-1.141077118E0,3.223546600E0,9.199120331E0,9.814128822E0
8.548085000E-1,-1.145118713E0,3.201841736E0,9.195677490E0,9.804262944E0
8.647895000E-1,-1.157991943E0,3.203188934E0,9.166338501E0,9.778707798E0
8.747695000E-1,-1.148561554E0,3.224594421E0,9.168284454E0,9.786451996E0
8.847505000E-1,-1.128802643E0,3.217559052E0,9.146579590E0,9.761495779E0
8.947315000E-1,-1.123862915E0,3.202739868E0,9.146878967E0,9.756331552E0
9.047125000E-1,-1.109792175E0,3.191662903E0,9.176068268E0,9.778475322E0
9.146935000E-1,-1.095871124E0,3.162772980E0,9.157207489E0,9.749795661E0
9.246745000E-1,-1.127754822E0,3.165317688E0,9.186396790E0,9.781664121E0
9.346545000E-1,-1.166075134E0,3.197500763E0,9.196425934E0,9.806018168E0
9.446355000E-1,-1.185235291E0,3.213367767E0,9.185498657E0,9.803259697E0
9.546165000E-1,-1.167272644E0,3.227887573E0,9.168434143E0,9.789891125E0
9.645975000E-1,-1.125509491E0,3.217708740E0,9.138496399E0,9.753591010E0
9.745785000E-1,-1.066532135E0,3.217259674E0,9.162296906E0,9.769131752E0
9.845595000E-1,-1.015787659E0,3.186423798E0,9.191935272E0,9.781451591E0
9.945395000E-1,-9.596543884E-1,3.164868622E0,9.166937256E0,9.745258775E0
1.004520500E0,-9.463320923E-1,3.159030762E0,9.210796051E0,9.783342153E0
1.014501500E0,-9.930349731E-1,3.169658661E0,9.239087219E0,9.818023586E0
1.024482500E0,-1.039737854E0,3.198249207E0,9.249864807E0,9.842248307E0
1.034463500E0,-1.072070618E0,3.232078857E0,9.258696442E0,9.865045816E0
1.044444500E0,-1.076411591E0,3.232378235E0,9.213939514E0,9.823625214E0
1.054424500E0,-1.070873108E0,3.219205627E0,9.194479980E0,9.800434490E0
1.064405500E0,-1.061891785E0,3.216361542E0,9.197773132E0,9.801613455E0
1.074386500E0,-1.064137115E0,3.209475861E0,9.148675232E0,9.753531750E0
1.084367500E0,-1.084943848E0,3.196452942E0,9.142987061E0,9.746210902E0
1.094348500E0,-1.087787933E0,3.230282593E0,9.146429901E0,9.760900991E0
1.104329500E0,-1.078207855E0,3.231929169E0,9.136700134E0,9.751265952E0
1.114309500E0,-1.091829529E0,3.223396912E0,9.163045349E0,9.774649837E0
1.124290500E0,-1.094374237E0,3.228486328E0,9.202413483E0,9.813520920E0
1.134271500E0,-1.065484314E0,3.215762787E0,9.249415741E0,9.850283177E0
1.144252500E0,-1.070573730E0,3.196902008E0,9.256900177E0,9.851726318E0
1.154233500E0,-1.089584198E0,3.185375977E0,9.277557220E0,9.869492480E0
1.164214500E0,-1.095871124E0,3.214265900E0,9.242979126E0,9.847085961E0
1.174194500E0,-1.099313965E0,3.243754578E0,9.210945740E0,9.827103153E0
1.184175500E0,-1.089284821E0,3.221301270E0,9.197473755E0,9.805959757E0
1.194156500E0,-1.068478088E0,3.196452942E0,9.187145233E0,9.785836416E0
1.204137500E0,-1.057401123E0,3.226989441E0,9.158854065E0,9.768119869E0
1.214118500E0,-1.055754547E0,3.234922943E0,9.181307373E0,9.791616271E0
1.224099500E0,-1.062640228E0,3.217858429E0,9.156459045E0,9.763429693E0
1.234079500E0,-1.052311707E0,3.205284576E0,9.137897644E0,9.740758825E0
1.244060500E0,-1.038240967E0,3.145858154E0,9.166937256E0,9.747158893E0
1.254041500E0,-1.069226532E0,3.175945587E0,9.236841888E0,9.825941371E0
1.264022500E0,-1.070124664E0,3.167563019E0,9.208850098E0,9.797017015E0
1.274003500E0,-1.065783691E0,3.127596130E0,9.212891693E0,9.787498443E0
1.283984500E0,-1.065035248E0,3.152145081E0,9.223369904E0,9.805145132E0
1.293964500E0,-1.071920929E0,3.168311462E0,9.178612976E0,9.769040289E0
1.303945500E0,-1.075812836E0,3.135829010E0,9.202563171E0,9.781511425E0
1.313926500E0,-1.079105988E0,3.128494263E0,9.247918854E0,9.822217123E0
1.323907500E0,-1.077459412E0,3.153641968E0,9.202563171E0,9.787417707E0
1.333888500E0,-1.069675598E0,3.170107727E0,9.198970642E0,9.788506002E0
1.343869500E0,-1.057700500E0,3.172203369E0,9.140741730E0,9.733178511E0
1.353849500E0,-1.029109955E0,3.156635742E0,9.100625153E0,9.687352305E0
1.363830500E0,-1.035845947E0,3.167263641E0,9.168583832E0,9.755381350E0
1.373811500E0,-1.036744080E0,3.194357300E0,9.146878967E0,9.743928966E0
1.383792500E0,-1.012494507E0,3.166664886E0,9.142687683E0,9.728393994E0
